summary,id,issue_type,priority,severity,story_points,sprint_id,created_at,resolved_at,actual_completed_rank,status
Allow to only show repositories with pending changes,SRCTREEWIN-13965,suggestion,low,,5,7,13-Dec-22,,,To Do
"Sourcetree window size is greater than available space in maximized mode, goes behind widndows task bar",SRCTREEWIN-13964,suggestion,low,,6,18,11-Dec-22,13-Jan-23,37,Done
Can't start SourceTree after updating to 3.4.10,SRCTREEWIN-13961,bug,high,critical,7,7,4-Dec-22,9-Dec-22,38,Done
Error when updating to 3.4.10,SRCTREEWIN-13960,bug,low,minor,3,14,4-Dec-22,9-Dec-22,39,Done
SourceTree not showing the diff just says 'select a file to view the diff',SRCTREEWIN-13959,bug,medium,major,7,26,1-Dec-22,,,Done
Digital Certificate validity period has expired.,SRCTREEWIN-13958,bug,medium,minor,3,7,30-Nov-22,4-Jan-23,41,Done
Interactive Rebase window keeps resizing itself,SRCTREEWIN-13957,bug,low,minor,4,20,29-Nov-22,,,To Do
Signing Certificate has expired,SRCTREEWIN-13956,bug,high,major,5,18,28-Nov-22,23-Dec-22,43,Done
Cannot upgrade from 3.4.9.0 to 3.4.10,SRCTREEWIN-13955,bug,low,minor,2,10,25-Nov-22,30-Nov-22,44,Done
Colour code remote and local repositories differently,SRCTREEWIN-13954,suggestion,low,,2,19,25-Nov-22,,,To Do
SourceTree 3.4.10 seems to be positive to AgentTesla,SRCTREEWIN-13953,bug,medium,major,4,19,24-Nov-22,4-Jan-23,46,Done
Sourcetree installer Failed to start System.Management.ManagementException: Invalid class,SRCTREEWIN-13952,bug,high,major,8,20,21-Nov-22,10-Mar-23,47,Done
No update,SRCTREEWIN-13951,bug,high,major,6,22,19-Nov-22,30-Nov-22,48,Done
Move 'Amend latest commit' checkbox AFTER 'Push changes immediately' checkbox,SRCTREEWIN-13950,suggestion,low,,2,24,19-Nov-22,4-Jan-23,49,Done
Give back ability to stage multiple files with drag and drop,SRCTREEWIN-13949,suggestion,low,,5,20,17-Nov-22,,,To Do
Sourcetree Support Website links to Mac version of suggestions and bugs,SRCTREEWIN-13948,bug,low,minor,2,21,16-Nov-22,10-Feb-23,51,Done
Update fails to Sourcetree 3.4.10,SRCTREEWIN-13947,bug,low,minor,1,24,14-Nov-22,18-Nov-22,52,Done
Test Bug,SRCTREEWIN-13946,bug,high,critical,2,22,10-Nov-22,11-Nov-22,53,Done
Source Tree Application Crashes on Opening,SRCTREEWIN-13945,bug,high,critical,7,19,10-Nov-22,,,To Do
Source Tree Application Crashes on Opening,SRCTREEWIN-13944,bug,high,critical,4,28,9-Nov-22,2-Dec-22,55,Done
Sorcetree not installing,SRCTREEWIN-13943,bug,high,major,7,27,8-Nov-22,,,To Do
Cannot update Sourcetree to 3.4.10,SRCTREEWIN-13942,bug,low,minor,1,5,7-Nov-22,7-Nov-22,57,Done
Update to 3.4.10 fails with 'Method not found' exception,SRCTREEWIN-13941,bug,medium,major,8,11,7-Nov-22,7-Nov-22,58,Done
Pull button is causing issue and unable to pull the other changes,SRCTREEWIN-13940,bug,low,critical,5,3,4-Nov-22,,,To Do
Wake up after sleep,SRCTREEWIN-13938,bug,medium,major,5,30,2-Nov-22,,,To Do
On-Prem DEVOPS repo wont connect.,SRCTREEWIN-13937,bug,medium,major,1,7,1-Nov-22,,,To Do
Nested/Grouped tabs for submodules,SRCTREEWIN-13936,suggestion,low,,1,12,1-Nov-22,,,To Do
Allow multiple user profiles with quick selection via toolbar,SRCTREEWIN-13935,suggestion,low,,2,24,1-Nov-22,,,To Do
Software update to 3.4.10 fails,SRCTREEWIN-13934,bug,high,major,5,28,31-Oct-22,1-Nov-22,64,Done
Update to v3.4.10 fails,SRCTREEWIN-13933,bug,medium,critical,5,26,30-Oct-22,31-Oct-22,65,Done
Update does not work (v3.4.9 -> v3.4.10),SRCTREEWIN-13932,bug,low,critical,1,30,29-Oct-22,30-Oct-22,66,Done
Update from 3.4.9 to 3.4.10 crashes and leaves sourcetree unusable.,SRCTREEWIN-13931,bug,high,critical,1,25,29-Oct-22,30-Oct-22,67,Done
"Sourcetree window size is greater than available space in maximized mode, goes behind widndows task bar",SRCTREEWIN-13930,suggestion,low,,2,3,28-Oct-22,,,To Do
Update impossible,SRCTREEWIN-13929,bug,high,minor,5,9,28-Oct-22,28-Oct-22,69,Done
Source Tree install fails,SRCTREEWIN-13928,bug,high,critical,3,17,27-Oct-22,28-Oct-22,70,Done
PortableGcmSt.7z,SRCTREEWIN-13927,bug,high,major,5,23,27-Oct-22,,,To Do
Update from 3.4.9 to 3.4.10 fails,SRCTREEWIN-13926,bug,high,critical,2,17,27-Oct-22,28-Oct-22,72,Done
Upgrade 3.4.10 fails - Windows 11,SRCTREEWIN-13925,bug,high,critical,4,3,27-Oct-22,28-Oct-22,73,Done
Error MessageBox do not shown when there are conflicts during git cherry pick,SRCTREEWIN-13924,bug,low,minor,6,23,25-Oct-22,15-Nov-22,74,Done
Cascadia Code - Selected font weight ignored,SRCTREEWIN-13923,bug,low,minor,4,9,23-Oct-22,,,Done
"""Log Selected..."" should specify the selected revision on the command-line as well",SRCTREEWIN-13922,bug,low,minor,4,7,23-Oct-22,,,To Do
Have the option to group tabs into workspaces,SRCTREEWIN-13921,suggestion,low,,3,23,21-Oct-22,,,To Do
Support using Windows built in OpenSSH,SRCTREEWIN-13920,suggestion,low,,4,5,21-Oct-22,,,To Do
[3.4.9/Mercurial] 'Push changes immediatly to default' is always grayed out.,SRCTREEWIN-13919,bug,medium,major,7,13,20-Oct-22,,,To Do
SourcetreeApp.com web site points to wrong version,SRCTREEWIN-13918,bug,high,major,2,27,20-Oct-22,20-Oct-22,80,Done
Update from 3.4.9 to 3.4.10 crashes,SRCTREEWIN-13917,bug,medium,major,8,16,18-Oct-22,19-Oct-22,81,Done
Window position is restored higher than when it shut down,SRCTREEWIN-13916,bug,low,minor,7,21,14-Oct-22,,,To Do
Can't download latest update,SRCTREEWIN-13915,bug,medium,major,7,6,10-Oct-22,18-Oct-22,83,Done
Bad line length error since latest Sourcetree update,SRCTREEWIN-13914,bug,medium,major,5,6,7-Oct-22,,,To Do
there is a fake 3.4.10 version Sourcetree,SRCTREEWIN-13913,bug,high,critical,1,9,7-Oct-22,12-Oct-22,85,Done
Resolving Conflicts for Multiple Files Only Resolves the Top File,SRCTREEWIN-13912,bug,medium,major,2,19,6-Oct-22,26-Oct-22,86,Done
Allow empty commits,SRCTREEWIN-13911,suggestion,low,,8,21,5-Oct-22,,,To Do
Authentication Error in stash (Bitbucket Server),SRCTREEWIN-13910,bug,high,major,3,22,3-Oct-22,,,To Do
Useless popup keep coming back HEROKU login,SRCTREEWIN-13909,bug,high,major,6,24,29-Sep-22,19-Oct-22,89,Done
Dropdown for Organization Repos is blank,SRCTREEWIN-13908,bug,low,minor,8,2,28-Sep-22,4-Jan-23,90,Done
Update from 3.4.9 beta to 3.4.10 beta fails,SRCTREEWIN-13907,bug,high,major,5,12,28-Sep-22,6-Oct-22,91,Done
Note when reset to other branch commit,SRCTREEWIN-13905,suggestion,low,,7,17,24-Sep-22,,,To Do
SourceTree crashes on startup,SRCTREEWIN-13904,bug,high,critical,6,17,23-Sep-22,19-Oct-22,93,Done
SourceTree pushing to remote repo using embedded Git stuck on adding server's rsa2 fingerprint,SRCTREEWIN-13903,bug,high,minor,3,29,21-Sep-22,,,To Do
git mv command is not working properly for folder renaming,SRCTREEWIN-13902,bug,high,critical,2,11,20-Sep-22,22-Sep-22,95,Done
"Staging modified file with name too long, is removing the file (git system)",SRCTREEWIN-13901,bug,high,minor,3,14,15-Sep-22,,,Done
Add support for other authentication methods,SRCTREEWIN-13900,suggestion,low,,8,25,1-Sep-22,,,To Do
Internal tabs don't align to tab stops in diff view,SRCTREEWIN-13898,bug,medium,minor,3,25,26-Aug-22,,,To Do
Context menu text not visible in dark mode,SRCTREEWIN-13897,bug,medium,minor,1,21,25-Aug-22,16-Jan-23,99,Done
Context menu text not visible in dark mode,SRCTREEWIN-13896,bug,medium,minor,6,12,25-Aug-22,27-Oct-22,100,Done
Cannot push changes to branch.,SRCTREEWIN-13895,bug,medium,major,6,15,19-Aug-22,,,To Do
Crash when clonning repo,SRCTREEWIN-13894,bug,low,critical,1,4,17-Aug-22,,,Done
Custom actions != command line,SRCTREEWIN-13893,bug,low,major,4,14,17-Aug-22,,,To Do
[3.4.9] Random crashes while starting a new gitflow feature,SRCTREEWIN-13892,bug,low,minor,5,10,16-Aug-22,,,To Do
Cannot Clone Repo,SRCTREEWIN-13891,bug,high,critical,3,4,15-Aug-22,,,To Do
Sort remote repositories,SRCTREEWIN-13890,bug,low,minor,5,15,15-Aug-22,10-Mar-23,106,Done
date for a Stash,SRCTREEWIN-13889,suggestion,low,,2,30,12-Aug-22,,,To Do
SourceTree should trust internal CA that are available at the OS level,SRCTREEWIN-13888,bug,medium,major,2,8,11-Aug-22,,,To Do
Unable to use System Mercurial on Sourcetree for Windows,SRCTREEWIN-13887,bug,high,major,3,19,11-Aug-22,,,To Do
Sourcetree on my laptop cannot recognize my github repository when I try to clone. Works on windows 10 pc but laptop is windows 11. All settings are setup the same but it wont recognize the url and wont show up in organization repositories.,SRCTREEWIN-13886,bug,low,minor,6,15,8-Aug-22,,,To Do
SourceTree constantly displays login pop-up when user attempts to perform an operation,SRCTREEWIN-13885,bug,high,major,6,7,8-Aug-22,,,To Do
Putty.exe and plink.exe certificate expired,SRCTREEWIN-13884,bug,medium,major,2,26,8-Aug-22,7-Oct-22,112,Done
Group multiple git project tabs into a Workspace,SRCTREEWIN-13883,suggestion,low,,4,29,3-Aug-22,,,To Do
Source closes itself whenever trying to add new account or clone new repository,SRCTREEWIN-13882,bug,medium,major,2,25,29-Jul-22,,,To Do
Git Add Issue,SRCTREEWIN-13881,bug,high,critical,3,15,25-Jul-22,,,To Do
Search local repositories (tabs),SRCTREEWIN-13879,suggestion,low,,7,1,25-Jul-22,,,To Do
Support CR as a line break in diff views,SRCTREEWIN-13878,bug,low,major,2,13,16-Jul-22,,,To Do
Sourcetree Logon failed on Windows,SRCTREEWIN-13877,bug,high,major,5,4,15-Jul-22,,,To Do
Sourcetree not updating with remote repository,SRCTREEWIN-13876,bug,high,major,4,19,13-Jul-22,,,To Do
Sourcetree 3.4.9 Crashes Immediately and Doesn't Install (Windows 10),SRCTREEWIN-13875,bug,low,major,8,23,11-Jul-22,,,in-progress
Remote repository search not working when Project Key is not part of a Project name,SRCTREEWIN-13874,bug,high,major,4,8,11-Jul-22,,,To Do
Sourcetree 3.4.9 Crashes Immediately and Doesn't Install (Windows 10),SRCTREEWIN-13873,bug,low,major,6,1,8-Jul-22,12-Jul-22,122,Done
Nonenglish encoding display error,SRCTREEWIN-13872,bug,low,major,8,29,7-Jul-22,,,To Do
Make Diff View async in order to not lock up the UI,SRCTREEWIN-13871,suggestion,low,,4,29,5-Jul-22,,,To Do
"Add ""Include untracked files"" checkbox to Stash Changes? dialog",SRCTREEWIN-13870,suggestion,low,,7,4,29-Jun-22,,,To Do
Cannot push after upgrading,SRCTREEWIN-13869,bug,high,critical,4,2,29-Jun-22,18-Nov-22,126,Done
cloning repo on GitHub using personal access token PAT,SRCTREEWIN-13868,bug,high,critical,5,18,25-Jun-22,,,To Do
Cannot access hidden start bar if source tree is maximized to full screen,SRCTREEWIN-13867,suggestion,low,,6,12,24-Jun-22,,,To Do
"User cannot rearrange repositories when they are located in a folder in the ""Local Repositories"" window",SRCTREEWIN-13866,suggestion,low,,8,24,24-Jun-22,,,To Do
Local Repos cannot be organized if in Folders in Sourcetree window,SRCTREEWIN-13865,bug,low,minor,2,13,22-Jun-22,23-Jun-22,130,Done
Support using of multiple ssh-keys through Sourcetree interface,SRCTREEWIN-13864,suggestion,low,,7,3,15-Jun-22,,,To Do
UX,SRCTREEWIN-13863,bug,low,minor,8,2,15-Jun-22,,,To Do
Amending a commit should not involve a popup,SRCTREEWIN-13862,suggestion,low,,7,13,8-Jun-22,7-Oct-22,133,Done
Restore the amend checkbox,SRCTREEWIN-13861,suggestion,low,,1,14,8-Jun-22,7-Oct-22,134,Done
CredentialHelperSelector Prompt Totally Confusing,SRCTREEWIN-13860,suggestion,low,,2,11,8-Jun-22,,,To Do
Potential 7z.exe vulnerability CVE-2022-29072,SRCTREEWIN-13859,bug,low,major,5,26,8-Jun-22,,,To Do
Repair stash External Diff when diff tool is custom,SRCTREEWIN-13857,bug,low,minor,4,7,7-Jun-22,10-Oct-22,137,Done
Support previewing of (common) image formats,SRCTREEWIN-13856,suggestion,low,,3,19,3-Jun-22,,,To Do
403 ERROR,SRCTREEWIN-13855,bug,low,minor,3,9,29-May-22,,,To Do
Add better support for github.com Personal Access Tokens PAT,SRCTREEWIN-13854,suggestion,low,,1,5,25-May-22,7-Mar-23,140,Done
"Toolbar: After rebase children in source tree window and after that 'git push -f' CLI, +1 notification appears for both push and pull",SRCTREEWIN-13853,bug,low,minor,5,20,23-May-22,,,To Do
SourceTree 3.4.8 keep crashing,SRCTREEWIN-13852,bug,low,major,1,15,20-May-22,4-Jan-23,142,Done
"Add a big ""continue rebase"" button on the screen after resolving conflicts.",SRCTREEWIN-13851,suggestion,low,,8,15,19-May-22,,,To Do
Copy Paste from History takes ages,SRCTREEWIN-13850,bug,low,minor,7,24,19-May-22,,,To Do
Sourcetree keeps crashing,SRCTREEWIN-13849,bug,low,minor,7,19,17-May-22,,,To Do
Can't clone repository,SRCTREEWIN-13848,bug,low,major,1,27,17-May-22,18-May-22,146,Done
"Jump to ""History"" after each commit?",SRCTREEWIN-13847,bug,low,major,1,11,14-May-22,,,To Do
CVE-2018-1002206 (SharpCompress.dll),SRCTREEWIN-13846,bug,low,minor,8,4,13-May-22,31-May-22,148,Done
Horizontal Scroll for MouseWheel Event,SRCTREEWIN-13845,suggestion,low,,1,30,10-May-22,,,To Do
Performance down by magnitudes on certain SSDs or ports,SRCTREEWIN-13844,bug,low,critical,6,2,6-May-22,,,To Do
Git-LFS Not supported,SRCTREEWIN-13843,bug,low,major,2,11,6-May-22,26-May-22,151,Done
Context Menu slow with large repository with many branches,SRCTREEWIN-13842,suggestion,low,,1,10,6-May-22,,,To Do
Use of BitBucket App Password in Source Tree,SRCTREEWIN-13840,suggestion,low,,3,23,5-May-22,,,To Do
SourceTree Shortcut Start In path invalid,SRCTREEWIN-13839,bug,low,minor,1,29,2-May-22,,,To Do
Log Selected Fails to show and causes full crash,SRCTREEWIN-13837,bug,low,major,4,18,27-Apr-22,,,Done
Cannot open multiple repos with same name,SRCTREEWIN-13836,bug,low,major,1,5,25-Apr-22,,,To Do
Keeps losing credentials,SRCTREEWIN-13835,bug,low,major,4,5,23-Apr-22,,,To Do
Allow Multiselect Cherry-pick using Interactive Rebase,SRCTREEWIN-13834,suggestion,low,,6,17,21-Apr-22,25-Apr-22,158,Done
Allow Multiselect Cherry-pick using Interactive Rebase,SRCTREEWIN-13833,suggestion,low,,1,28,20-Apr-22,,,To Do
Clone Remote - Failure to validate/accept remote repository path,SRCTREEWIN-13832,bug,low,critical,3,18,19-Apr-22,,,To Do
Branches are no longer fetched with my remote,SRCTREEWIN-13831,bug,low,minor,7,13,19-Apr-22,28-Apr-22,161,Done
source tree closing when adding new clone,SRCTREEWIN-13830,bug,low,major,8,12,15-Apr-22,,,To Do
Sourcetree Update broke authentication,SRCTREEWIN-13829,bug,low,critical,4,23,14-Apr-22,,,To Do
Tries to open xaml files with internet explorer,SRCTREEWIN-13828,bug,low,minor,7,4,14-Apr-22,,,To Do
Cannot update embedded git to v2.35.2 on windows sourcetree v3.4.8,SRCTREEWIN-13827,bug,low,major,6,6,14-Apr-22,31-May-22,165,Done
Sourcetree for Windows crash after a few seconds.,SRCTREEWIN-13825,bug,low,major,5,8,13-Apr-22,,,To Do
Add a confirm before aborting a rebase,SRCTREEWIN-13824,suggestion,low,,8,27,13-Apr-22,,,To Do
Remote repositories are not listing all repositories,SRCTREEWIN-13823,bug,low,major,1,30,11-Apr-22,4-Jan-23,168,Done
Automatic refresh OAuth token,SRCTREEWIN-13822,bug,low,minor,3,17,8-Apr-22,,,To Do
App crash trying to add existing repo,SRCTREEWIN-13821,bug,low,major,6,6,7-Apr-22,,,To Do
Show full project name in top bar,SRCTREEWIN-13820,suggestion,low,,6,17,6-Apr-22,,,future-consideration
Force Push does not work anymore,SRCTREEWIN-13819,bug,low,major,3,1,4-Apr-22,,,To Do
Windows context menu colors for dark theme,SRCTREEWIN-13818,bug,low,minor,1,20,1-Apr-22,7-Mar-23,173,Done
sync the repository URLs and certifications to the atlssian account(or other cloud),SRCTREEWIN-13817,suggestion,low,,7,28,1-Apr-22,,,To Do
Support checkout of file at version in log view,SRCTREEWIN-13816,suggestion,low,,7,11,30-Mar-22,,,To Do
Can not clone bitbucket Repo,SRCTREEWIN-13815,bug,low,major,5,9,29-Mar-22,,,To Do
Untracked branches cannot be pushed,SRCTREEWIN-13814,bug,high,critical,5,24,29-Mar-22,,,To Do
Wrong Base64 Encoding - Sourcetree Authentication failed if password contains special characters (§ and german umlauts),SRCTREEWIN-13813,bug,low,major,3,6,28-Mar-22,,,To Do
Checkbox 'push changes immediately' is greyed out and cannot be activated,SRCTREEWIN-13812,bug,low,minor,4,9,25-Mar-22,,,To Do
Push screen does not show tracked branches,SRCTREEWIN-13811,bug,low,major,7,26,24-Mar-22,,,To Do
"App passsword works to get project list, but not read remote directory",SRCTREEWIN-13810,bug,low,critical,5,14,23-Mar-22,,,To Do
Ability to customize the font size of the interface,SRCTREEWIN-13809,suggestion,low,,5,28,23-Mar-22,,,To Do
Can't clone Bitbucket private repo on sourcetree,SRCTREEWIN-13808,bug,low,critical,8,27,22-Mar-22,,,To Do
Tabs are not show when restart SourceTree.,SRCTREEWIN-13807,bug,low,major,8,19,21-Mar-22,,,To Do
Cannot add custom action,SRCTREEWIN-13806,bug,low,major,8,12,20-Mar-22,,,To Do
Cannot execute Sourcetree after install...,SRCTREEWIN-13805,bug,low,critical,6,16,18-Mar-22,13-Jan-23,186,Done
Push extremely slow,SRCTREEWIN-13804,bug,low,minor,2,14,18-Mar-22,,,To Do
Bitbucket Oauth and Basic Authentication Not Working After Following Resolution Steps,SRCTREEWIN-13803,bug,low,major,5,8,17-Mar-22,,,To Do
Window starts halfway out of the screen (multiple screens),SRCTREEWIN-13802,bug,low,minor,4,16,17-Mar-22,,,To Do
Select which account to use when cloning a repository,SRCTREEWIN-13801,suggestion,low,,5,19,17-Mar-22,,,To Do
SourceTree - closes soon after the application starts.,SRCTREEWIN-13800,bug,low,major,1,19,16-Mar-22,,,To Do
Resolve Conflicts -> Mine/Theirs when popping from Stash both confirm commit id of last commit,SRCTREEWIN-13799,bug,low,minor,2,27,15-Mar-22,,,To Do
App Password is not working for an overseas user,SRCTREEWIN-13797,bug,low,critical,2,12,14-Mar-22,,,To Do
Custom Action Bug happened between version 3.4.5 and 3.4.6 (trusted_tester),SRCTREEWIN-13796,bug,low,major,4,25,8-Mar-22,,,To Do
Navigate back or forward,SRCTREEWIN-13795,suggestion,low,,6,7,7-Mar-22,,,To Do
Exception while tracking LFS extensions,SRCTREEWIN-13792,bug,low,major,2,30,1-Mar-22,,,To Do
Make it easier to see Added Files,SRCTREEWIN-13791,suggestion,low,,5,10,26-Feb-22,,,To Do
Branches arrangement,SRCTREEWIN-13790,suggestion,low,,1,19,22-Feb-22,,,To Do
Selected commit being reset when dragging SourceTree to other display,SRCTREEWIN-13789,bug,low,minor,8,24,22-Feb-22,,,To Do
"Old version of Pageant included with SourceTree 3.4.7, causes key loss",SRCTREEWIN-13788,bug,low,major,3,25,20-Feb-22,,,To Do
Default for Production branch in GitFlow should be main not master,SRCTREEWIN-13787,bug,low,minor,1,23,18-Feb-22,,,To Do
"OAuth Fails, Unable to get Secret",SRCTREEWIN-13786,bug,low,major,4,23,18-Feb-22,,,To Do
SourceTree Windows app crashes upon launch,SRCTREEWIN-13785,bug,low,minor,7,25,14-Feb-22,18-Feb-22,203,Done
Launch SSH agent fails code -1 with system git and OpenSSH,SRCTREEWIN-13784,bug,low,major,2,26,13-Feb-22,,,To Do
case sensitivity,SRCTREEWIN-13783,bug,low,minor,1,15,9-Feb-22,,,To Do
Sourcetree error: Too many invalid password attempts. The requested URL returned error: 403,SRCTREEWIN-13782,bug,low,major,5,14,7-Feb-22,,,To Do
Typing Commit Messages,SRCTREEWIN-13779,suggestion,low,,6,21,6-Feb-22,,,To Do
Failed to list repositories for user [xxxxx],SRCTREEWIN-13777,bug,low,critical,6,15,5-Feb-22,7-Feb-22,208,Done
ssh-agent.exe taks to much CPU,SRCTREEWIN-13776,bug,medium,minor,4,4,4-Feb-22,,,To Do
Local Repositories  Bookmark Bar does not refresh,SRCTREEWIN-13774,bug,low,minor,4,9,2-Feb-22,,,To Do
Force push on repository with submodules does not work,SRCTREEWIN-13773,bug,low,minor,6,17,1-Feb-22,,,To Do
Stash view should show dates,SRCTREEWIN-13772,suggestion,low,,2,13,30-Jan-22,,,To Do
Clone crash when I put URL with SourceTree V3.4.7,SRCTREEWIN-13771,bug,low,major,6,26,26-Jan-22,,,To Do
SourceTree Windows app crashes while cloning if GitHub repo is empty,SRCTREEWIN-13769,bug,low,major,8,5,24-Jan-22,25-Jan-22,214,Done
Cloning Bitbucket Server Repo via HTTP crashes SourceTree app,SRCTREEWIN-13768,bug,low,major,8,27,24-Jan-22,25-Jan-22,215,Done
branches checked out in different worktree not shown in the left panel,SRCTREEWIN-13767,bug,low,major,5,13,20-Jan-22,,,To Do
Stashes diff view only show one file,SRCTREEWIN-13766,bug,low,major,5,1,18-Jan-22,,,To Do
SourceTree does not start (as.atlassian.com),SRCTREEWIN-13765,bug,low,critical,2,29,16-Jan-22,19-Jan-22,218,Done
Source Tree overlapping Taskbar Windows 11,SRCTREEWIN-13764,bug,low,minor,1,15,14-Jan-22,,,To Do
Accounts for remote repo fails to connect,SRCTREEWIN-13763,bug,low,major,1,14,12-Jan-22,9-Mar-22,220,Done
"can not access repositories, authentication always fails",SRCTREEWIN-13762,bug,low,major,8,3,11-Jan-22,,,To Do
Authentication Failed - Unable to resolve,SRCTREEWIN-13761,bug,low,major,6,11,10-Jan-22,,,To Do
http.proxy set to www.google.com:80 when set proxy to OS default,SRCTREEWIN-13760,bug,low,minor,7,5,5-Jan-22,,,To Do
Please make warning LESS SCARY about a detached head,SRCTREEWIN-13759,suggestion,low,,5,11,4-Jan-22,,,To Do
Bug in listing bitbucket repos,SRCTREEWIN-13758,bug,low,critical,3,13,4-Jan-22,9-Mar-22,225,Done
Spaces in File path of Custom Action,SRCTREEWIN-13757,bug,low,minor,5,14,3-Jan-22,,,To Do
Failed to start (System.BadImageFormatException),SRCTREEWIN-13756,bug,low,major,7,16,3-Jan-22,,,To Do
commit view show in branchs,SRCTREEWIN-13755,suggestion,low,,5,10,25-Dec-21,,,To Do
Add extended integration with Team Foundation Server (TFS) 2015 and Visual Studio Online,SRCTREEWIN-13754,suggestion,low,,4,1,23-Dec-21,,,To Do
Sourcetree is using /2.0/teams endpoint to fetch list of repositories user has access to,SRCTREEWIN-13753,suggestion,low,,8,14,23-Dec-21,9-Mar-22,230,Done
git.exe fsmonitor process did not exit after close sourcetree,SRCTREEWIN-13752,bug,low,major,7,6,20-Dec-21,,,To Do
Crash when clone remote EMPTY (private) GitHUB repository,SRCTREEWIN-13751,bug,low,major,5,12,19-Dec-21,9-Mar-22,232,Done
Log 4j vulnerability,SRCTREEWIN-13749,bug,low,critical,1,30,16-Dec-21,,,To Do
