project_id,id,name,description,issue_type,status,priority,assignee,story_points,sprint,tags,severity,full_text,ai_score_1,ai_score_2,ai_score_3,user_value_boost,risk_reduction_boost,time_criticality_boost,priority_weight,severity_weight,user_value,time_criticality,risk_reduction,cost_of_delay,safe_story_points,WSJF,ai_cluster,moscow_category,is_bug,severity_rank,global_boost,global_rank_score,priority_rank
1,1017,Data protection & backup plan,"Define backup/retention policy, restore playbook, and data encryption-at-rest/in-transit requirements.",task,todo,medium,,3,,ops security compliance,,"Data protection & backup plan. Define backup/retention policy, restore playbook, and data encryption-at-rest/in-transit requirements.. ops security compliance",1.0,4.5220876,5.565518,1.5,2.0,1.0,1.6,1.0,1.0,1.29625035669202,2.385386240206612,4.681636596898632,3.0,1.560545532299544,0,Could Have,False,99,0,1.560545532299544,19
1,1020,Backlog grooming & roadmap planning,"Run initial grooming session, prioritize backlog, and produce 3-month roadmap with milestones.",task,todo,high,,3,,process planning,,"Backlog grooming & roadmap planning. Run initial grooming session, prioritize backlog, and produce 3-month roadmap with milestones.. process planning",4.774446,2.3323522,8.591991,1.0,1.0,1.5,2.0,1.0,1.3181950863238103,1.2101565811121575,1.8609967335261421,4.38934840096211,3.0,1.4631161336540366,0,Could Have,False,99,0,1.4631161336540366,20
1,1016,Performance baseline & profiling plan,"Establish performance goals, add basic load tests and profiling guidelines for future work.",task,todo,low,,3,,performance testing,,"Performance baseline & profiling plan. Establish performance goals, add basic load tests and profiling guidelines for future work.. performance testing",1.5861988,1.0,4.6571727,1.5,1.0,1.0,1.2,1.0,1.0202589424534645,1.0,1.0483375785742113,3.068596521027676,3.0,1.0228655070092254,2,Won't Have (This Sprint),False,99,0,1.0228655070092254,21
1,1014,Security review & dependency audit,"Run SCA, fix critical vulnerabilities, add dependency update policy and secrets management plan.",task,todo,high,,5,,security dependencies,,"Security review & dependency audit. Run SCA, fix critical vulnerabilities, add dependency update policy and secrets management plan.. security dependencies",6.6857963,5.3858747,3.7355375,1.0,2.5,1.5,2.0,1.0,1.4883423639913649,1.5954141037486425,2.015244356593966,5.099000824333974,5.0,1.0198001648667947,0,Could Have,False,99,0,1.0198001648667947,22
1,1018,User documentation & API docs,"Create user-facing docs, API reference (OpenAPI/Swagger) and developer docs for contributors.",task,todo,medium,,5,,docs api,,"User documentation & API docs. Create user-facing docs, API reference (OpenAPI/Swagger) and developer docs for contributors.. docs api",7.250713,4.706146,6.765914,1.5,1.0,1.0,1.6,1.0,1.667721750175417,1.3117318866408874,1.4838564729882493,4.463310109804553,5.0,0.8926620219609106,2,Won't Have (This Sprint),False,99,0,0.8926620219609106,23
1,1011,Logging & monitoring baseline,"Add structured logging, request tracing, basic metrics and integrate with monitoring dashboard.",task,todo,medium,,5,,observability ops,,"Logging & monitoring baseline. Add structured logging, request tracing, basic metrics and integrate with monitoring dashboard.. observability ops",2.433106,2.976093,6.6481333,1.5,1.0,1.0,1.6,1.0,1.1530891003695605,1.1662134344332686,1.4595311969086606,3.7788337317114897,5.0,0.7557667463422979,0,Could Have,False,99,0,0.7557667463422979,24
1,1013,End-to-end (E2E) smoke tests,"Implement simple E2E tests to verify critical user flows (login, create resource, logout).",task,todo,medium,,5,,qa e2e,,"End-to-end (E2E) smoke tests. Implement simple E2E tests to verify critical user flows (login, create resource, logout).. qa e2e",3.5649643,3.6487584,4.4231267,1.5,1.0,1.5,1.6,1.0,1.2739979395968544,1.376245220130849,1.0,3.6502431597277036,5.0,0.7300486319455407,2,Won't Have (This Sprint),False,99,0,0.7300486319455407,25
1,1015,Deployment: staging environment,Deploy initial build to staging environment with automated deploy pipeline and rollback strategy.,task,todo,high,,8,,devops deployment,,Deployment: staging environment. Deploy initial build to staging environment with automated deploy pipeline and rollback strategy.. devops deployment,6.5923815,4.612277,10.0,1.5,1.0,1.0,2.0,1.0,1.7734516000860094,1.3038363857804058,2.151793116621226,5.229081102487641,8.0,0.6536351378109552,2,Won't Have (This Sprint),False,99,0,0.6536351378109552,26
1,1012,Automated tests: unit & integration,Create test framework and add unit tests for core modules and integration tests for API.,task,todo,high,,8,,qa testing,,Automated tests: unit & integration. Create test framework and add unit tests for core modules and integration tests for API.. qa testing,3.949144,4.0348167,6.290635,1.0,1.0,1.0,2.0,1.0,1.2447271755429883,1.2552649596027123,1.3856970056218887,3.8856891407675893,8.0,0.48571114259594866,2,Won't Have (This Sprint),False,99,0,0.48571114259594866,27
1,1010,Core API: CRUD for primary resource,Implement REST/GraphQL endpoints for main domain entity with validation and error handling.,story,todo,high,,13,,backend api mvp,,Core API: CRUD for primary resource. Implement REST/GraphQL endpoints for main domain entity with validation and error handling.. backend api mvp,3.3941312,4.959548,6.639005,1.0,1.0,1.0,2.0,1.0,1.195320270416933,1.3330460931653174,1.4576459693010446,3.9860123328832953,13.0,0.306616333298715,2,Won't Have (This Sprint),False,99,0,0.306616333298715,28
